environment;line;div;week;total;d_sum;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14
B;GH;sfl;3;7;22;1;0;4;1;1;0;0;0;0;0;0;0;0;0
B;Bourg;sfl;3;4;12;2;0;0;1;0;1;0;0;0;0;0;0;0;0
B;SRVL;sfl;3;20;103;2;5;0;0;3;2;1;6;1;0;0;0;0;0
B;Steven;sfl;3;8;33;1;0;0;3;4;0;0;0;0;0;0;0;0;0
B;Citadel;sfl;3;18;67;0;0;6;11;1;0;0;0;0;0;0;0;0;0
B;2;sfl;3;6;15;1;2;2;1;0;0;0;0;0;0;0;0;0;0
B;OD;sfl;3;10;23;4;3;1;1;0;1;0;0;0;0;0;0;0;0
B;Flora;sfl;3;11;29;6;1;1;0;0;3;0;0;0;0;0;0;0;0
T;S1;mix;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;S2;mix;3;5;19;0;0;2;2;1;0;0;0;0;0;0;0;0;0
T;S3;mix;3;19;51;7;3;2;4;2;1;0;0;0;0;0;0;0;0
T;S4;mix;3;26;78;8;1;6;6;4;1;0;0;0;0;0;0;0;0
T;S5;mix;3;10;19;3;5;2;0;0;0;0;0;0;0;0;0;0;0
T;S6;mix;3;30;74;9;5;9;7;0;0;0;0;0;0;0;0;0;0
T;S7;mix;3;3;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0
T;S8;mix;3;13;29;3;4;6;0;0;0;0;0;0;0;0;0;0;0
T;GH;sfl;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;Bourg;sfl;3;2;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0
T;SRVL;sfl;3;9;20;1;5;3;0;0;0;0;0;0;0;0;0;0;0
T;Steven;sfl;3;31;110;4;8;2;9;1;6;1;0;0;0;0;0;0;0
T;Citadel;sfl;3;22;116;3;1;1;1;4;3;7;1;1;0;0;0;0;0
T;2;sfl;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;OD;sfl;3;7;16;2;3;0;2;0;0;0;0;0;0;0;0;0;0
T;Flora;sfl;3;4;8;3;0;0;0;1;0;0;0;0;0;0;0;0;0
G;S1;mix;3;4;16;0;0;3;0;0;0;1;0;0;0;0;0;0;0
G;S2;mix;3;6;26;1;0;1;1;0;3;0;0;0;0;0;0;0;0
G;S3;mix;3;11;28;3;4;0;3;1;0;0;0;0;0;0;0;0;0
G;S4;mix;3;11;51;0;1;2;2;3;2;0;1;0;0;0;0;0;0
G;S5;mix;3;12;37;2;1;5;2;2;0;0;0;0;0;0;0;0;0
G;S6;mix;3;31;96;6;10;4;2;4;5;0;0;0;0;0;0;0;0
G;S7;mix;3;12;43;3;0;4;1;2;0;2;0;0;0;0;0;0;0
G;S8;mix;3;7;27;0;2;3;0;0;1;0;1;0;0;0;0;0;0
G;GH;sfl;3;20;38;10;5;3;1;1;0;0;0;0;0;0;0;0;0
G;Bourg;sfl;3;5;17;2;0;0;0;3;0;0;0;0;0;0;0;0;0
G;SRVL;sfl;3;20;61;6;3;1;6;2;2;0;0;0;0;0;0;0;0
G;Steven;sfl;3;8;16;6;1;0;0;0;0;0;1;0;0;0;0;0;0
G;Citadel;sfl;3;34;163;8;2;3;2;5;0;7;3;4;0;0;0;0;0
G;2;sfl;3;18;51;3;8;2;1;2;2;0;0;0;0;0;0;0;0
G;OD;sfl;3;12;50;1;0;3;2;4;2;0;0;0;0;0;0;0;0
G;Flora;sfl;3;13;26;5;4;3;1;0;0;0;0;0;0;0;0;0;0
B;S1;mix;4;22;78;1;3;9;3;4;2;0;0;0;0;0;0;0;0
B;S2;mix;4;17;41;2;12;0;1;1;1;0;0;0;0;0;0;0;0
B;S3;mix;4;13;48;5;0;0;3;2;1;1;1;0;0;0;0;0;0
B;S4;mix;4;14;40;5;1;3;3;0;2;0;0;0;0;0;0;0;0
B;S5;mix;4;31;82;11;6;6;5;0;1;1;1;0;0;0;0;0;0
B;S6;mix;4;23;82;3;3;5;4;7;0;1;0;0;0;0;0;0;0
B;S7;mix;4;23;125;0;0;2;9;8;0;1;0;0;0;0;3;0;0
B;S8;mix;4;34;123;14;4;3;0;3;1;1;8;0;0;0;0;0;0
B;GH;sfl;4;5;18;0;0;3;1;1;0;0;0;0;0;0;0;0;0
B;Bourg;sfl;4;5;14;2;1;0;0;2;0;0;0;0;0;0;0;0;0
B;SRVL;sfl;4;24;97;2;6;3;6;0;2;3;1;1;0;0;0;0;0
B;Steven;sfl;4;10;32;1;2;3;2;2;0;0;0;0;0;0;0;0;0
B;Citadel;sfl;4;11;30;5;1;1;0;4;0;0;0;0;0;0;0;0;0
B;2;sfl;4;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0
B;OD;sfl;4;7;13;2;4;1;0;0;0;0;0;0;0;0;0;0;0
B;Flora;sfl;4;8;27;0;2;1;5;0;0;0;0;0;0;0;0;0;0
T;S1;mix;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;S2;mix;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
T;S3;mix;4;9;23;2;0;7;0;0;0;0;0;0;0;0;0;0;0
T;S4;mix;4;24;58;8;9;2;0;4;1;0;0;0;0;0;0;0;0
T;S5;mix;4;3;7;1;1;0;1;0;0;0;0;0;0;0;0;0;0
T;S6;mix;4;25;71;6;3;7;8;0;1;0;0;0;0;0;0;0;0
T;S7;mix;4;2;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0
T;S8;mix;4;10;25;2;4;1;3;0;0;0;0;0;0;0;0;0;0
T;GH;sfl;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;Bourg;sfl;4;2;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0
T;SRVL;sfl;4;5;10;1;3;1;0;0;0;0;0;0;0;0;0;0;0
T;Steven;sfl;4;8;58;0;1;0;0;0;0;3;1;3;0;0;0;0;0
T;Citadel;sfl;4;11;36;4;1;1;1;2;1;1;0;0;0;0;0;0;0
